学会タイトル,発表タイトル,発表者,発表者の所属
日本応用数理学会2025年度年会,☆SAV法に基づく連続最適化手法のロバスト性および収束速度の改善について,降籏 大介,大阪大学 D3センター
日本応用数理学会2025年度年会,☆SAV法に基づく連続最適化手法のロバスト性および収束速度の改善について,宮武 勇登,D3センター
日本応用数理学会2025年度年会,☆機械学習による地震波形の時系列特徴量を用いた火山性地震の分類,王 雲鵬,明治大学
日本応用数理学会2025年度年会,☆機械学習による地震波形の時系列特徴量を用いた火山性地震の分類,中野 直人,明治大学
日本応用数理学会2025年度年会,ラテン立方体と秘密分散法,足立 智子,静岡理工科大学
日本応用数理学会2025年度年会,ラテン立方体と秘密分散法,野澤 友希,静岡理工科大学
日本応用数理学会2025年度年会,線形層が追加されたオートエンコーダーを用いた螺旋上のデータ等の学習とその評価,服部 翔太,茨城大学理工学研究科理学専攻
日本応用数理学会2025年度年会,線形層が追加されたオートエンコーダーを用いた螺旋上のデータ等の学習とその評価,渡邊 辰矢,茨城大学基礎自然学野理学専攻
日本応用数理学会2025年度年会,☆Experimental and numerical evaluation of out-of-plane compressive properties of bio-inspired honeycomb cores,コンテ ギヨーム,明治大学大学院理工学研究科機械工学専攻
日本応用数理学会2025年度年会,☆Experimental and numerical evaluation of out-of-plane compressive properties of bio-inspired honeycomb cores,石田 祥子,明治大学理工学部機械工学科
日本応用数理学会2025年度年会,☆Max-plus代数における矩形行列の行列式とそのグラフ理論的解釈,牧 将太,福知山公立大学情報学部
日本応用数理学会2025年度年会,☆Max-plus代数における矩形行列の行列式とそのグラフ理論的解釈,渡邉 扇之介,福知山公立大学情報学部
日本応用数理学会2025年度年会,☆量子ウォークの漸化式から導かれるファジーセルオートマトン,南 萌絵,福知山公立大学
日本応用数理学会2025年度年会,☆量子ウォークの漸化式から導かれるファジーセルオートマトン,渡邉 扇之介,福知山公立大学
日本応用数理学会2025年度年会,☆セルオートマトンを用いたグラフの頂点彩色,兒島 茜,福知山公立大学
日本応用数理学会2025年度年会,☆セルオートマトンを用いたグラフの頂点彩色,渡邉 扇之介,福知山公立大学
日本応用数理学会2025年度年会,☆2次元ファジーセルオートマトンを用いた感染症モデル,吉川 稜,福知山公立大学
日本応用数理学会2025年度年会,☆2次元ファジーセルオートマトンを用いた感染症モデル,渡邉 扇之介,福知山公立大学
日本応用数理学会2025年度年会,☆2次元3状態量子ウォークモデル,本永 幸嗣郎,福知山公立大学
日本応用数理学会2025年度年会,☆2次元3状態量子ウォークモデル,渡邉 扇之介,福知山公立大学
日本応用数理学会2025年度年会,視空間モデル,西本 博之,大阪産業大学
日本応用数理学会2025年度年会,曲面特徴量による船体曲がり外板の加工時間推定の検討,藤本 修平,国立研究開発法人　海上・港湾・航空技術研究所　海上技術安全研究所
日本応用数理学会2025年度年会,曲面特徴量による船体曲がり外板の加工時間推定の検討,谷口 智之,国立研究開発法人　海上・港湾・航空技術研究所　海上技術安全研究所
日本応用数理学会2025年度年会,☆残差モデルによるFourier Neural Operatorの予測誤差修正に関する検討,LAI ANNING,大阪大学
日本応用数理学会2025年度年会,☆残差モデルによるFourier Neural Operatorの予測誤差修正に関する検討,降籏 大介,大阪大学D3センター
日本応用数理学会2025年度年会,☆残差モデルによるFourier Neural Operatorの予測誤差修正に関する検討,宮武 勇登,大阪大学D3センター
日本応用数理学会2025年度年会,☆電力系統における潮流方程式を用いた動的頑健性の評価,塩津 竜士,九州大学
日本応用数理学会2025年度年会,☆電力系統における潮流方程式を用いた動的頑健性の評価,翁長 朝功,九州大学
日本応用数理学会2025年度年会,☆電力系統における潮流方程式を用いた動的頑健性の評価,竹内 知哉,千葉工業大学
日本応用数理学会2025年度年会,☆電力系統における潮流方程式を用いた動的頑健性の評価,安東 弘泰,東北大学
日本応用数理学会2025年度年会,☆電力系統における潮流方程式を用いた動的頑健性の評価,合原 一幸,東京大学
日本応用数理学会2025年度年会,☆電力系統における潮流方程式を用いた動的頑健性の評価,森野 佳生,"九州大学, 東京大学"
日本応用数理学会2025年度年会,☆ホロノミック拘束系のためのディラックニューラルネットワークに基づくモジュラー深層学習,奥脇 健心,早稲田大学 大学院
日本応用数理学会2025年度年会,☆ホロノミック拘束系のためのディラックニューラルネットワークに基づくモジュラー深層学習,吉村 浩明,早稲田大学
日本応用数理学会2025年度年会,☆粒子フィルタにおける繰り返しリサンプリングを用いた粒子選抜手法の検討,神谷 創一朗,大阪大学
日本応用数理学会2025年度年会,☆粒子フィルタにおける繰り返しリサンプリングを用いた粒子選抜手法の検討,降籏 大介,大阪大学D3センター
日本応用数理学会2025年度年会,☆粒子フィルタにおける繰り返しリサンプリングを用いた粒子選抜手法の検討,宮武 勇登,大阪大学
日本応用数理学会2025年度年会,☆シフト歪対称線形方程式に対する乱択クリロフ部分空間法の提案,ZHAO XIANGWEN,大阪大学
日本応用数理学会2025年度年会,Theoretical and Simulation-Based Evaluation of Topological Approaches for Mixing Process Optimization,新川 恵理子,東北大学
日本応用数理学会2025年度年会,Theoretical and Simulation-Based Evaluation of Topological Approaches for Mixing Process Optimization,水藤 寛,東北大学
日本応用数理学会2025年度年会,Navier-Stokes方程式に対するPINNsの残差学習による事後誤差推定,Jackaman James,Norwegian University of Science and Technology
日本応用数理学会2025年度年会,Navier-Stokes方程式に対するPINNsの残差学習による事後誤差推定,徐 百歌,神戸大学
日本応用数理学会2025年度年会,Navier-Stokes方程式に対するPINNsの残差学習による事後誤差推定,谷口 隆晴,神戸大学
日本応用数理学会2025年度年会,☆大変形を伴って平面上を運動する柔軟梁の古典場理論に基づく定式化とテザー衛星への応用,藤原 裕己,早稲田大学
日本応用数理学会2025年度年会,☆大変形を伴って平面上を運動する柔軟梁の古典場理論に基づく定式化とテザー衛星への応用,吉村 浩明,早稲田大学
人工知能学会2025,[2L4-GS-1-01] LLMにおける創発の理論,一色 智裕,ファイナンシャルテクノロジーシステム株式会社
